ProductKey;OrderDateKey;CustomerKey;Sales
361;20130101;11249;2294,99
477;20130101;11249;4,99
478;20130101;11249;9,99
378;20130101;12307;2443,35
353;20130101;11334;2319,99
478;20130101;11334;9,99
477;20130101;11334;4,99
376;20130101;19360;2443,35
479;20130101;19360;8,99
477;20130101;19360;4,99
489;20130101;19360;53,99
374;20130101;11433;2443,35
592;20130101;15551;564,99
535;20130101;15551;24,99
480;20130101;15551;2,29
378;20130101;22785;2443,35
484;20130101;22785;7,95
372;20130101;20180;2443,35
529;20130101;20180;3,99
540;20130101;20180;32,60
484;20130101;20180;7,95
386;20130101;23105;1120,49
217;20130101;23105;34,99
463;20130101;23105;24,49
363;20130101;11017;2294,99
485;20130101;11017;21,98
382;20130101;19167;1120,49
386;20130101;18544;1120,49
214;20130101;18544;34,99
573;20130101;11433;2384,07
479;20130101;11433;8,99
477;20130101;11433;4,99
214;20130101;11433;34,99
225;20130101;11433;8,99
575;20130101;25618;2384,07
479;20130101;25618;8,99
477;20130101;25618;4,99
578;20130101;12271;1214,85
488;20130101;12271;53,99
359;20130102;11340;2294,99
478;20130102;11340;9,99
477;20130102;11340;4,99
491;20130102;11340;53,99
588;20130102;21534;769,49
528;20130102;21534;4,99
536;20130102;21534;29,99
217;20130102;21534;34,99
361;20130102;11282;2294,99
528;20130102;11282;4,99
537;20130102;11282;35,00
485;20130102;11282;21,98
473;20130102;11282;63,50
363;20130102;11264;2294,99
485;20130102;11264;21,98
228;20130102;11264;49,99
225;20130102;11264;8,99
564;20130102;28136;2384,07
363;20130102;11456;2294,99
485;20130102;11456;21,98
478;20130102;11456;9,99
477;20130102;11456;4,99
214;20130102;11456;34,99
465;20130102;11456;24,49
376;20130103;18212;2443,35
484;20130103;18212;7,95
374;20130103;16693;2443,35
540;20130103;16693;32,60
529;20130103;16693;3,99
480;20130103;16693;2,29
359;20130103;11341;2294,99
222;20130103;11341;34,99
225;20130103;11341;8,99
582;20130103;16944;1700,99
217;20130103;16944;34,99
234;20130103;16944;49,99
463;20130103;16944;24,49
372;20130103;19418;2443,35
540;20130103;19418;32,60
378;20130103;19341;2443,35
487;20130103;19341;54,99
372;20130103;25779;2443,35
529;20130103;25779;3,99
540;20130103;25779;32,60
359;20130103;11265;2294,99
485;20130103;11265;21,98
222;20130103;11265;34,99
359;20130103;11136;2294,99
485;20130103;11136;21,98
472;20130103;11136;63,50
363;20130103;11278;2294,99
217;20130103;11278;34,99
565;20130103;27766;742,35
222;20130103;27766;34,99
234;20130103;27766;49,99
569;20130103;20716;742,35
217;20130103;20716;34,99
582;20130103;18468;1700,99
489;20130103;18468;53,99
581;20130103;18697;1700,99
361;20130103;11008;2294,99
477;20130103;11008;4,99
478;20130103;11008;9,99
480;20130103;11008;2,29
604;20130103;24386;539,99
538;20130103;24386;21,49
529;20130103;24386;3,99
386;20130103;22667;1120,49
234;20130103;22667;49,99
353;20130104;12397;2319,99
478;20130104;12397;9,99
588;20130104;16311;769,49
536;20130104;16311;29,99
528;20130104;16311;4,99
480;20130104;16311;2,29
374;20130104;24883;2443,35
222;20130104;24883;34,99
225;20130104;24883;8,99
357;20130104;11335;2319,99
485;20130104;11335;21,98
480;20130104;11335;2,29
357;20130104;11084;2319,99
480;20130104;11084;2,29
359;20130104;11445;2294,99
478;20130104;11445;9,99
363;20130104;11447;2294,99
478;20130104;11447;9,99
477;20130104;11447;4,99
355;20130104;11058;2319,99
487;20130104;11058;54,99
353;20130104;11060;2319,99
591;20130104;17512;564,99
535;20130104;17512;24,99
480;20130104;17512;2,29
573;20130104;24425;2384,07
222;20130104;24425;34,99
382;20130104;19417;1120,49
222;20130104;19417;34,99
606;20130104;29356;539,99
538;20130104;29356;21,49
529;20130104;29356;3,99
471;20130104;29356;63,50
605;20130104;27949;539,99
479;20130104;27949;8,99
477;20130104;27949;4,99
574;20130104;14775;2384,07
222;20130104;14775;34,99
376;20130105;16702;2443,35
578;20130105;14050;1214,85
225;20130105;14050;8,99
